Title,Short_Title,Link,Sale_Price,Original_Price,Reviews,Discount (%)
"2020 Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD) - Space Grey",2020 Apple MacBook Pro with Ap,/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5MWPY6/ref=sr_1_1?keywords=macbook+pro+m1&qid=1641921610&sr=8-1,0,0,0,
"New Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 512GB SSD) - Space Grey (Latest Model)",New Apple MacBook Pro with App,/Apple-MacBook-Chip-13-inch-512GB/dp/B08N5QM9MS/ref=sr_1_2?keywords=macbook+pro+m1&qid=1641921610&sr=8-2,0,0,351,
16-inch M1 Max Mac Book Pro Space Grey 10-Core CPU 32-Core GPU 32GB RAM 2TB SSD Deecies Limited Laptop Pro,16-inch M1 Max Mac Book Pro Sp,/16-inch-10-Core-32-Core-Deecies-Limited/dp/B09LMFDRJC/ref=sr_1_3?keywords=macbook+pro+m1&qid=1641921610&sr=8-3,0,0,0,
13-inch M1 Mac Book Pro Space Grey 8-Core 16GB RAM 512GB SSD Deecies Limited Laptop Pro,13-inch M1 Mac Book Pro Space ,/13-inch-8-Core-Deecies-Limited-Laptop/dp/B08ZNS26VV/ref=sr_1_4?keywords=macbook+pro+m1&qid=1641921610&sr=8-4,0,0,3,
13-inch M1 Mac Book Pro Space Grey 8-Core 16GB 1TB SSD Deecies Limited Laptop Pro,13-inch M1 Mac Book Pro Space ,/13-inch-8-Core-Deecies-Limited-Laptop/dp/B08ZNSVRKG/ref=sr_1_5?keywords=macbook+pro+m1&qid=1641921610&sr=8-5,0,0,4,
16-inch M1 Max Mac Book Pro Space Grey 10-Core CPU 32-Core GPU 32GB RAM 1TB SSD Deecies Limited Laptop Pro,16-inch M1 Max Mac Book Pro Sp,/16-inch-10-Core-32-Core-Deecies-Limited/dp/B09LHY6S24/ref=sr_1_6?keywords=macbook+pro+m1&qid=1641921610&sr=8-6,0,0,0,
"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID; Silver",2020 Apple MacBook Air Laptop:,/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5NMHM3/ref=sr_1_7?keywords=macbook+pro+m1&qid=1641921610&sr=8-7,889,999,0,11.01101101
"2018 Apple MacBook Pro with 2.3GHz Intel Core i5 (13"", 8GB RAM, 256GB SSD Storage) - Space Grey (Renewed)",2018 Apple MacBook Pro with 2.,/Apple-MacBook-Pro-13-3-Inch-Laptop/dp/B07HFDQP1Y/ref=sr_1_8?keywords=macbook+pro+m1&qid=1641921610&sr=8-8,834.99,834.99,3,0
"Mid 2014 Apple MacBook Pro 13"" - Core i5 2.6GHz, 8GB RAM, 256GB SSD - Silver (Renewed)","Mid 2014 Apple MacBook Pro 13""",/Apple-MacBook-Pro-Mid-2014/dp/B07RLVM6MF/ref=sr_1_9?keywords=macbook+pro+m1&qid=1641921610&sr=8-9,448,448,2,0
"Apple MacBook Pro 13 (Retina Late 2012) - Core i5 2.5GHz, 8GB RAM, 128GB SSD (Renewed)",Apple MacBook Pro 13 (Retina L,/Apple-MacBook-Retina-Late-2012/dp/B07JX52HNH/ref=sr_1_10?keywords=macbook+pro+m1&qid=1641921610&sr=8-10,346.95,346.95,6,0
"Early 2015 Apple MacBook Pro with 2.9 GHz Intel Core i5 (13 inch, 8GB RAM, 512GB SSD) Silver (Renewed)",Early 2015 Apple MacBook Pro w,/Apple-MacBook-Pro-Early-2015/dp/B07RGRS6QB/ref=sr_1_11?keywords=macbook+pro+m1&qid=1641921610&sr=8-11,499.99,499.99,18,0
"2014 Apple MacBook Pro with 2.2GHz Core i7 (15.4-inch, 16GB RAM, 256GB SSD) Silver (Renewed)",2014 Apple MacBook Pro with 2.,/Apple-MacBook-15-inch-Laptop-Intel/dp/B07GT5JS8X/ref=sr_1_12?keywords=macbook+pro+m1&qid=1641921610&sr=8-12,587,587,10,0
"Apple MacBook Pro 13"" (Late 2016/Touch) - Core i5 2.9GHz, 8GB RAM, 256GB SSD - Silver (Renewed)","Apple MacBook Pro 13"" (Late 20",/Apple-MacBook-Late-2016-Touch/dp/B0842VHBC6/ref=sr_1_13?keywords=macbook+pro+m1&qid=1641921610&sr=8-13,675,675,1,0
